stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\chris\Desktop\Programacao\Estudo_C\POCs_Projeto\x64\Debug\allegro5.cfg r
display  D   display_settings.c:527  _al_score_display_settings       [   0.03697] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03699] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03702] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03704] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03706] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.03708] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03711] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.03713] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03716] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.03718] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03721] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03723] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03725] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03727] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03730] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.03732] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03734] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.03737] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03739] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.03741] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03744] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03746] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03748] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03750] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03753] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.03755] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03758] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.03760] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03762] Score is : 717
display  D   display_settings.c:212  debug_display_settings           [   0.03764] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03767] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03769] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.03771] Score is : 897
display  D   display_settings.c:212  debug_display_settings           [   0.03774] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03776] Score is : 726
display  D   display_settings.c:212  debug_display_settings           [   0.03778] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03781] Score is : 721
display  D   display_settings.c:212  debug_display_settings           [   0.03783] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.03785] Score is : 717
